property_name,listing_href,price,floor_area,property_address,is_studio,is_room,property_type,currency,num_bedrooms,num_bathrooms,price_period,build_year,furnished,district_code
21 TEBAN GARDENS ROAD,https://www.propertyguru.com.sg/listing/hdb-for-rent-21-teban-gardens-road-24236483,1200,936,21 Teban Gardens Road,False,False,HDB Flat,S$ ,1.0,1.0,/mo,2012,Fully Furnished,D22
THE FLORAVALE,https://www.propertyguru.com.sg/listing/23913602/for-rent-the-floravale,1600,100,222 Westwood Avenue,False,True,Executive Condominium,S$ ,,,/mo,2000,Fully Furnished,D22
463 JURONG WEST STREET 41,https://www.propertyguru.com.sg/listing/hdb-for-rent-463-jurong-west-street-41-24196458,1000,100,463 Jurong West Street 41,False,True,HDB Flat,S$ ,,,/mo,1983,,D22
122 YUAN CHING ROAD,https://www.propertyguru.com.sg/listing/hdb-for-rent-122-yuan-ching-road-24087598,1000,120,122 Yuan Ching Road,False,True,HDB Flat,S$ ,,,/mo,1971,Fully Furnished,D22
911 JURONG WEST STREET 91,https://www.propertyguru.com.sg/listing/hdb-for-rent-911-jurong-west-street-91-24063680,900,100,911 Jurong West Street 91,False,True,HDB Flat,S$ ,,,/mo,1988,Fully Furnished,D22
811 JURONG WEST STREET 81,https://www.propertyguru.com.sg/listing/hdb-for-rent-811-jurong-west-street-81-24228152,900,150,811 Jurong West Street 81,False,True,HDB Flat,S$ ,,,/mo,1993,Fully Furnished,D22
273D JURONG WEST AVENUE 3,https://www.propertyguru.com.sg/listing/hdb-for-rent-273d-jurong-west-avenue-3-20591874,4500,915,273D Jurong West Avenue 3,False,False,HDB Flat,S$ ,3.0,2.0,/mo,1999,Partially Furnished,D22
667C JURONG WEST STREET 65,https://www.propertyguru.com.sg/listing/hdb-for-rent-667c-jurong-west-street-65-24196816,4131,1184,667C Jurong West Street 65,False,False,HDB Flat,S$ ,3.0,2.0,/mo,1998,Partially Furnished,D22
186 BOON LAY AVENUE,https://www.propertyguru.com.sg/listing/hdb-for-rent-186-boon-lay-avenue-24236072,1600,450,186 Boon Lay Avenue,False,True,HDB Flat,S$ ,,,/mo,1975,Fully Furnished,D22
273A JURONG WEST AVENUE 3,https://www.propertyguru.com.sg/listing/hdb-for-rent-273a-jurong-west-avenue-3-24235363,850,200,273A Jurong West Avenue 3,False,True,HDB Flat,S$ ,,,/mo,2001,Fully Furnished,D22
