project_id,rent,low_area_sqm,high_area_sqm,low_area_sqft,high_area_sqft,lease_date,no_of_bedrooms,street_name,project_name,district,property_type,longitude,latitude,id,category_name
194,3000,90,100,1000,1100,2022-08-01,2,HAZEL PARK TERRACE,HAZEL PARK CONDOMINIUM,23,1,103.76512406685856,1.3730705761022723,1,Non-landed Properties
508,5000,90,100,1000,1100,2022-08-01,3,BEDOK SOUTH AVENUE 3,ECO,16,1,103.944932535671,1.3236569211235698,1,Non-landed Properties
745,4300,90,100,1000,1100,2022-08-01,3,JURONG WEST CENTRAL 3,THE CENTRIS,22,1,103.70513447901649,1.3395067943281549,1,Non-landed Properties
95,5700,90,100,1000,1100,2022-08-01,2,SHELFORD ROAD,THE SHELFORD,11,1,103.81139435246511,1.3255804518113008,1,Non-landed Properties
334,4900,90,100,1000,1100,2022-08-01,2,KENG LEE ROAD,ROCHELLE AT NEWTON,11,1,103.841916873357,1.3140470238354449,1,Non-landed Properties
2866,4500,90,100,1000,1100,2022-08-01,2,KAMPONG BUGIS,KALLANG RIVERSIDE,12,1,103.8670787790935,1.3070858488920849,1,Non-landed Properties
1389,3250,90,100,1000,1100,2022-08-01,2,BALESTIER ROAD,BALESTIER PLAZA,12,1,103.850395374025,1.32572472557093,1,Non-landed Properties
110,5000,90,100,1000,1100,2022-08-01,99,HAVELOCK ROAD,NON-LANDED HOUSING DEVELOPMENT,3,1,,,1,Non-landed Properties
1562,4500,90,100,1000,1100,2022-08-01,2,JOO CHIAT ROAD,THE EASTSIDE,15,1,103.90570122425332,1.3055855936379732,1,Non-landed Properties
888,4300,90,100,1000,1100,2022-08-01,2,JURONG EAST AVENUE 1,PARC OASIS,22,1,103.73410118919192,1.343072830069139,1,Non-landed Properties
2208,2600,90,100,1000,1100,2022-08-01,3,KOVAN ROAD,KOVAN ESQUIRE,19,1,103.881225445998,1.3581154873923449,1,Non-landed Properties
440,3300,90,100,1000,1100,2022-08-01,2,LAKESIDE DRIVE,CASPIAN,22,1,103.71809132862262,1.3428538979074487,1,Non-landed Properties
775,4800,90,100,1000,1100,2022-08-01,3,MOUNT EMILY ROAD,PARC EMILY,9,1,103.84884753425629,1.30391508064242,1,Non-landed Properties
911,3300,90,100,1000,1100,2022-08-01,3,BEDOK RESERVOIR ROAD,WATERFRONT KEY,16,1,103.93113454216314,1.3373552598477445,1,Non-landed Properties
