project_id,rent,low_area_sqm,high_area_sqm,low_area_sqft,high_area_sqft,lease_date,no_of_bedrooms,street_name,project_name,district,property_type,longitude,latitude,id,category_name
1453,3300,90,100,1000,1100,2022-08-01,3,PASIR RIS HEIGHTS,VUE 8 RESIDENCE,18,1,103.940527354049,1.3817831796154709,1,Non-landed Properties
2682,3200,90,100,1000,1100,2022-08-01,3,EDGEDALE PLAINS,THE TERRACE,19,5,103.9163799105747,1.401037169853095,5,Executive Condominium
987,3400,90,100,1000,1100,2022-08-01,3,LAKESIDE DRIVE,THE LAKEFRONT RESIDENCES,22,1,103.719289684001,1.343034268540324,1,Non-landed Properties
1120,2800,90,100,1000,1100,2022-08-01,2,JALAN JINTAN,KIM SIA COURT,9,1,103.8344722495024,1.3060393391574621,1,Non-landed Properties
1777,5800,90,100,1000,1100,2022-08-01,3,MOULMEIN ROAD,THE HUNTINGTON,11,1,103.8453147433015,1.31878596080469,1,Non-landed Properties
110,3000,90,100,1000,1100,2022-08-01,3,HAVELOCK ROAD,NON-LANDED HOUSING DEVELOPMENT,3,1,,,1,Non-landed Properties
2789,6500,90,100,1000,1100,2022-08-01,3,CUSCADEN WALK,ANGULLIA PARK RESIDENCES @ ORCHARD,10,1,103.82924968543,1.303616767694495,1,Non-landed Properties
745,4500,90,100,1000,1100,2022-08-01,3,JURONG WEST CENTRAL 3,THE CENTRIS,22,1,103.70513447901649,1.3395067943281549,1,Non-landed Properties
6,3927,90,100,1000,1100,2022-08-01,2,TOH TUCK ROAD,SIGNATURE PARK,21,1,103.7684699870413,1.3419950757520032,1,Non-landed Properties
1404,3800,90,100,1000,1100,2022-08-01,3,LORONG 27A GEYLANG,BALMY COURT,14,1,103.88495132004,1.314154877227675,1,Non-landed Properties
963,3000,90,100,1000,1100,2022-08-01,2,MILTONIA CLOSE,THE MILTONIA RESIDENCES,27,1,103.84807758208744,1.4168953145404628,1,Non-landed Properties
110,3500,90,100,1000,1100,2022-08-01,99,HAVELOCK ROAD,NON-LANDED HOUSING DEVELOPMENT,3,1,,,1,Non-landed Properties
1079,5800,90,100,1000,1100,2022-08-01,3,ENGGOR STREET,SKYSUITES@ANSON,2,1,103.84474111843249,1.2746420348183549,1,Non-landed Properties
3060,6400,90,100,1000,1100,2022-08-01,99,STIRLING ROAD,STIRLING RESIDENCES,3,1,103.80506706812899,1.29161981074384,1,Non-landed Properties
236,4500,90,100,1000,1100,2022-08-01,2,LEEDON HEIGHTS,D'LEEDON,10,1,103.802679902163,1.315471206074291,1,Non-landed Properties
1505,3200,90,100,1000,1100,2022-08-01,2,JOO CHIAT PLACE,ENVIO,15,1,103.9074849075735,1.31484701877692,1,Non-landed Properties
803,5500,90,100,1000,1100,2022-08-01,2,DEPOT ROAD,THE INTERLACE,4,1,103.8032790705178,1.2822078911269339,1,Non-landed Properties
2589,3800,90,100,1000,1100,2022-08-01,1,BALESTIER ROAD,CITY SUITES,12,1,103.852175641875,1.32129843243842,1,Non-landed Properties
1089,5100,90,100,1000,1100,2022-08-01,2,ONE-NORTH GATEWAY,ONE-NORTH RESIDENCES,5,1,103.78987783002631,1.3020924751521268,1,Non-landed Properties
2483,2100,90,100,1000,1100,2022-08-01,3,JALAN HAJIJAH,THE TAIPAN,16,1,103.93490925609851,1.31231452897906,1,Non-landed Properties
2925,2800,90,100,1000,1100,2022-08-01,3,YISHUN CENTRAL 1,NORTH PARK RESIDENCES,27,1,103.83606820069022,1.4272863532259643,1,Non-landed Properties
943,3800,90,100,1000,1100,2022-08-01,2,JALAN RAJA UDANG,THE ARTE,12,1,103.842378136617,1.3283007396726969,1,Non-landed Properties
2866,6000,90,100,1000,1100,2022-08-01,2,KAMPONG BUGIS,KALLANG RIVERSIDE,12,1,103.8670787790935,1.3070858488920849,1,Non-landed Properties
1050,4500,90,100,1000,1100,2022-08-01,3,UPPER SERANGOON CRESCENT,RIVERSAILS,19,1,103.902714201047,1.3785837690699621,1,Non-landed Properties
280,3600,90,100,1000,1100,2022-08-01,3,BRIGHT HILL DRIVE,THOMSON THREE,20,1,103.8305279207425,1.3573916111711311,1,Non-landed Properties
2623,6100,90,100,1000,1100,2022-08-01,2,SHENTON WAY,V ON SHENTON,1,1,103.8491799936115,1.27708044748316,1,Non-landed Properties
1034,4100,90,100,1000,1100,2022-08-01,2,WEST COAST ROAD,CLEMENTIWOODS CONDOMINIUM,5,1,103.767710455086,1.2963370381602113,1,Non-landed Properties
72,4600,90,100,1000,1100,2022-08-01,2,HAVELOCK ROAD,RIVER PLACE,3,1,103.8409032745854,1.289788294807916,1,Non-landed Properties
803,5000,90,100,1000,1100,2022-08-01,2,DEPOT ROAD,THE INTERLACE,4,1,103.8032790705178,1.2822078911269339,1,Non-landed Properties
1738,2900,90,100,1000,1100,2022-08-01,3,LORONG 34 GEYLANG,CENTRAL MEADOWS,14,1,103.8881686065815,1.3122646741072752,1,Non-landed Properties
578,3800,90,100,1000,1100,2022-08-01,2,FABER HEIGHTS,FABER CREST,5,1,103.75714482214848,1.3235212755951049,1,Non-landed Properties
